time	V(n002)	V(n012)
7.941580528399138e-002	1.644007e+000	1.665786e-001
7.986869593551998e-002	3.546366e-001	3.592970e-002
8.030777387937158e-002	-9.360513e-001	-8.988225e-002
8.074719646547790e-002	-2.149652e+000	-2.033822e-001
8.129456218686124e-002	-3.429858e+000	-3.173200e-001
8.179001768029853e-002	-4.319142e+000	-3.916996e-001
8.202069165122702e-002	-4.603531e+000	-4.133904e-001
8.219122476209174e-002	-4.734428e+000	-4.218748e-001
8.236151239365296e-002	-4.803353e+000	-4.247046e-001
8.257331019152639e-002	-4.814340e+000	-4.215859e-001
8.276935605656861e-002	-4.741827e+000	-4.115874e-001
8.308779069410197e-002	-4.445467e+000	-3.806047e-001
8.359877185968050e-002	-3.626384e+000	-3.041707e-001
8.422474455488178e-002	-2.217268e+000	-1.813466e-001
8.468441544189832e-002	-9.642571e-001	-7.778925e-002
8.512598733010526e-002	3.327427e-001	2.454241e-002
8.556736018577428e-002	1.597734e+000	1.200760e-001
8.603172409339911e-002	2.764269e+000	2.036713e-001
8.665205491757765e-002	4.013175e+000	2.876741e-001
8.692116170457147e-002	4.402903e+000	3.117435e-001
8.711708097554052e-002	4.586533e+000	3.215376e-001
8.727044977522482e-002	4.674454e+000	3.251208e-001
8.746076489258489e-002	4.720738e+000	3.251168e-001
8.763541454073688e-002	4.701847e+000	3.209045e-001
8.787039538718032e-002	4.570271e+000	3.082226e-001
8.825102655272465e-002	4.126972e+000	2.733116e-001
8.885559165906695e-002	3.016654e+000	1.942000e-001
8.938194434063893e-002	1.736122e+000	1.090490e-001
8.983596036393149e-002	4.509324e-001	2.832060e-002
9.027423422155370e-002	-8.388907e-001	-4.870909e-002
9.071291445627221e-002	-2.061424e+000	-1.179299e-001
9.124646101627362e-002	-3.328325e+000	-1.851828e-001
9.177267239768661e-002	-4.294278e+000	-2.324512e-001
9.200806706497211e-002	-4.592998e+000	-2.453922e-001
9.218177789619554e-002	-4.730383e+000	-2.501360e-001
9.235012349075536e-002	-4.804026e+000	-2.514717e-001
9.253734153582678e-002	-4.823943e+000	-2.496779e-001
9.271080176220380e-002	-4.775997e+000	-2.446374e-001
9.299286548774528e-002	-4.555721e+000	-2.295489e-001
9.344761604651478e-002	-3.893690e+000	-1.915038e-001
9.415845992504109e-002	-2.372673e+000	-1.122903e-001
9.463982580643876e-002	-1.091654e+000	-5.041618e-002
9.508914456612307e-002	2.241038e-001	9.081657e-003
9.553789495758444e-002	1.516779e+000	6.414755e-002
9.599565368435591e-002	2.682586e+000	1.104222e-001
9.660848292930754e-002	3.945350e+000	1.564351e-001
9.689017068645089e-002	4.368384e+000	1.701715e-001
9.709416069911969e-002	4.570509e+000	1.755443e-001
9.724642102352650e-002	4.665492e+000	1.772727e-001
9.742842315529972e-002	4.717484e+000	1.769383e-001
9.762338105449084e-002	4.704376e+000	1.740122e-001
9.785082603206784e-002	4.586895e+000	1.669780e-001
9.821947575584429e-002	4.174489e+000	1.482937e-001
9.880629524160688e-002	3.127667e+000	1.069468e-001
9.932842163699890e-002	1.880164e+000	6.219929e-002
9.979577142457682e-002	5.681674e-001	1.875404e-002
1.002372191527573e-001	-7.307740e-001	-2.128688e-002
1.006791663739852e-001	-1.973290e+000	-5.680937e-002
1.011948323759494e-001	-3.216635e+000	-8.922977e-002
1.017518203243871e-001	-4.263236e+000	-1.134762e-001
1.019929310233698e-001	-4.578946e+000	-1.195804e-001
1.021704672845289e-001	-4.724289e+000	-1.215132e-001
1.023365137297331e-001	-4.803374e+000	-1.217726e-001
1.024947923050056e-001	-4.829968e+000	-1.207561e-001
1.026480643904341e-001	-4.803485e+000	-1.184861e-001
1.028909618525422e-001	-4.654396e+000	-1.124182e-001
1.032841473347900e-001	-4.171849e+000	-9.756816e-002
1.039071487824224e-001	-2.986619e+000	-6.632408e-002
1.044111487441294e-001	-1.733489e+000	-3.686908e-002
1.048773336899683e-001	-4.004284e-001	-8.508331e-003
1.053538091915549e-001	9.967474e-001	1.865130e-002
1.057894856064757e-001	2.182720e+000	3.949783e-002
1.063480575853672e-001	3.456021e+000	5.924981e-002
1.068092974398423e-001	4.254590e+000	6.975005e-002
1.070347597515829e-001	4.520359e+000	7.237729e-002
1.072017653532148e-001	4.642663e+000	7.297440e-002
1.073742425335181e-001	4.706191e+000	7.255641e-002
1.076031760834351e-001	4.707014e+000	7.071862e-002
1.078179581308467e-001	4.611835e+000	6.764245e-002
1.081664108479679e-001	4.249517e+000	6.005028e-002
1.087230006464864e-001	3.305753e+000	4.406749e-002
1.092506589674369e-001	2.081511e+000	2.632973e-002
1.097588755245694e-001	6.736817e-001	8.451037e-003
1.102019834511716e-001	-6.275265e-001	-6.183957e-003
1.106460841989933e-001	-1.884130e+000	-1.859506e-002
1.111605504998687e-001	-3.129548e+000	-2.902077e-002
1.117893122111105e-001	-4.309356e+000	-3.686583e-002
1.120201775877053e-001	-4.606053e+000	-3.816935e-002
1.121908398661757e-001	-4.737278e+000	-3.824402e-002
1.123610479936035e-001	-4.806340e+000	-3.777965e-002
1.125727368504016e-001	-4.817525e+000	-3.661160e-002
1.127684228537086e-001	-4.745382e+000	-3.495133e-002
1.130862794909368e-001	-4.450074e+000	-3.118554e-002
1.135963749999478e-001	-3.645105e+000	-2.359379e-002
1.141488504028339e-001	-2.410998e+000	-1.432867e-002
1.147194010322429e-001	-8.565128e-001	-4.714189e-003
1.151632842501607e-001	4.424470e-001	1.963263e-003
1.156084791909034e-001	1.708878e+000	7.294056e-003
1.160971386823009e-001	2.910597e+000	1.121490e-002
1.167219003122898e-001	4.120133e+000	1.390681e-002
1.169712927204332e-001	4.459060e+000	1.423162e-002
1.171543280801270e-001	4.614124e+000	1.406891e-002
1.173167788938433e-001	4.696033e+000	1.373227e-002
1.174781236258541e-001	4.727200e+000	1.324996e-002
1.176418685242920e-001	4.703293e+000	1.262152e-002
1.178808891492145e-001	4.563782e+000	1.149569e-002
1.182679309297616e-001	4.103333e+000	9.367545e-003
1.188810470474144e-001	2.944077e+000	5.787928e-003
1.195084560101441e-001	1.377526e+000	2.364758e-003
1.199732674754303e-001	4.675128e-002	3.229066e-004
1.204444972521167e-001	-1.329515e+000	-1.112596e-003
1.208771070142091e-001	-2.479527e+000	-1.829668e-003
1.214783005030508e-001	-3.799302e+000	-2.115333e-003
1.218564565143412e-001	-4.418145e+000	-1.992425e-003
1.220693235069719e-001	-4.650743e+000	-1.819203e-003
1.222277208188964e-001	-4.758162e+000	-1.657531e-003
1.224056870497477e-001	-4.815928e+000	-1.459703e-003
1.226149109483096e-001	-4.807950e+000	-1.220322e-003
1.228370489132541e-001	-4.698593e+000	-9.734990e-004
1.231972435872277e-001	-4.302711e+000	-6.273067e-004
1.237714551663165e-001	-3.275500e+000	-2.338606e-004
1.243794409993504e-001	-1.809170e+000	-1.559345e-005
1.248465922482192e-001	-4.924580e-001	3.750220e-005
1.251019877255120e-001	2.679367e-001	3.943476e-005
1.252338952681227e-001	6.623546e-001	3.764990e-005
1.253575751831943e-001	1.027084e+000	3.595473e-005
1.255140796727728e-001	1.478240e+000	3.385133e-005
1.256801424703223e-001	1.943576e+000	3.178957e-005
1.257693443620915e-001	2.185553e+000	3.075497e-005
1.258438322497105e-001	2.381480e+000	2.987524e-005
1.259035379936660e-001	2.534785e+000	2.840825e-005
1.259456150204611e-001	2.640402e+000	2.398012e-005
1.259970446421259e-001	2.766781e+000	1.209307e-005
1.260908098557021e-001	2.988825e+000	-2.399669e-005
1.261883337766888e-001	3.206554e+000	-5.355683e-005
1.263234222055889e-001	3.489539e+000	4.309270e-005
1.264591407629657e-001	3.753019e+000	2.859820e-004
1.265324059776038e-001	3.884086e+000	3.784468e-004
1.267015118563930e-001	4.148099e+000	5.005393e-004
1.268148162446521e-001	4.297696e+000	6.128135e-004
1.269657214558065e-001	4.453400e+000	7.728616e-004
1.272675318781153e-001	4.662647e+000	1.111713e-003
1.274571540071965e-001	4.722621e+000	1.333332e-003
1.276340716867960e-001	4.704276e+000	1.540158e-003
1.278682118152330e-001	4.574198e+000	1.790738e-003
1.282475077722545e-001	4.134081e+000	2.069728e-003
1.288501024773650e-001	3.022650e+000	2.085214e-003
1.294224155183540e-001	1.619973e+000	1.449787e-003
1.298970958504789e-001	2.705340e-001	2.468313e-004
1.303371927449938e-001	-1.021952e+000	-1.480811e-003
1.307777690701229e-001	-2.229511e+000	-3.728850e-003
1.313391432096089e-001	-3.525014e+000	-7.008264e-003
1.318064079031029e-001	-4.346575e+000	-9.810666e-003
1.320326489551428e-001	-4.617951e+000	-1.109317e-002
1.322001829314238e-001	-4.742900e+000	-1.194749e-002
1.323723299041844e-001	-4.807652e+000	-1.270699e-002
1.326024613876940e-001	-4.809057e+000	-1.352629e-002
1.328167953152826e-001	-4.713375e+000	-1.401207e-002
1.331645318925987e-001	-4.348372e+000	-1.403946e-002
1.337200428150923e-001	-3.380582e+000	-1.223880e-002
1.343583059180060e-001	-1.862024e+000	-7.560177e-003
1.348334665313147e-001	-5.289657e-001	-2.103462e-003
1.352708674380608e-001	7.575223e-001	4.361758e-003
1.357089369266347e-001	1.975273e+000	1.165374e-002
1.362394258229119e-001	3.228449e+000	2.062798e-002
1.367710829870654e-001	4.197686e+000	2.899817e-002
1.370069117643821e-001	4.494477e+000	3.218821e-002
1.371809139794608e-001	4.630681e+000	3.411520e-002
1.373490829523227e-001	4.703658e+000	3.561004e-002
1.375354941892590e-001	4.723794e+000	3.684613e-002
1.377077939974760e-001	4.677613e+000	3.748889e-002
1.379879842066146e-001	4.463615e+000	3.732039e-002
1.384398122276722e-001	3.817466e+000	3.391223e-002
1.391465898458887e-001	2.321043e+000	2.257878e-002
1.396534831134661e-001	9.782594e-001	1.011111e-002
1.401069090604279e-001	-3.474936e-001	-4.193678e-003
1.405626301302954e-001	-1.658024e+000	-2.016461e-002
1.410407685663090e-001	-2.866760e+000	-3.687267e-002
1.416589945037792e-001	-4.116353e+000	-5.660209e-002
1.419381619191589e-001	-4.520157e+000	-6.403369e-002
1.421296888939694e-001	-4.697505e+000	-6.803405e-002
1.422861407577652e-001	-4.786013e+000	-7.058279e-002
1.424485956113710e-001	-4.825148e+000	-7.250232e-002
1.426308883260930e-001	-4.805836e+000	-7.372241e-002
1.428630352157507e-001	-4.677911e+000	-7.362042e-002
1.432391640706922e-001	-4.241024e+000	-6.934924e-002
1.438370777527379e-001	-3.135453e+000	-5.421311e-002
1.444120256358402e-001	-1.723561e+000	-3.128255e-002
1.448803529310939e-001	-3.912610e-001	-6.888868e-003
1.453173193841364e-001	8.923146e-001	1.896928e-002
1.457547425942583e-001	2.093727e+000	4.545264e-002
1.463017154111464e-001	3.357780e+000	7.615225e-002
1.468059064913420e-001	4.246213e+000	1.001994e-001
1.470322827595528e-001	4.517872e+000	1.086384e-001
1.471999084339518e-001	4.641355e+000	1.132720e-001
1.473719981801210e-001	4.705307e+000	1.165958e-001
1.476023374200220e-001	4.706786e+000	1.190159e-001
1.478165936175873e-001	4.612476e+000	1.188014e-001
1.481642059651834e-001	4.252177e+000	1.126566e-001
1.487195296860852e-001	3.293819e+000	9.091441e-002
1.493634276891786e-001	1.770822e+000	5.114466e-002
1.498446523238935e-001	4.243860e-001	1.234683e-002
1.502836777596461e-001	-8.664979e-001	-2.791592e-002
1.507233858410619e-001	-2.088238e+000	-6.889377e-002
1.512681621443708e-001	-3.372499e+000	-1.154947e-001
1.517921063899851e-001	-4.321554e+000	-1.531287e-001
1.520222139525038e-001	-4.607190e+000	-1.658241e-001
1.521923646700312e-001	-4.737332e+000	-1.726157e-001
1.523628879481589e-001	-4.805873e+000	-1.772874e-001
1.525750083983709e-001	-4.816116e+000	-1.803948e-001
1.527721201200739e-001	-4.742172e+000	-1.801169e-001
1.530922664023402e-001	-4.441772e+000	-1.723843e-001
1.536058686915961e-001	-3.600992e+000	-1.441080e-001
1.543151631385858e-001	-1.967437e+000	-8.198039e-002
1.547945121645253e-001	-6.427519e-001	-2.713309e-002
1.552347866985609e-001	6.518777e-001	3.025863e-002
1.556775187341750e-001	1.892150e+000	8.863199e-002
1.561947904408102e-001	3.119295e+000	1.503915e-001
1.568141405971245e-001	4.246294e+000	2.116177e-001
1.570382995039665e-001	4.522511e+000	2.281903e-001
1.572044197381222e-001	4.643023e+000	2.366315e-001
1.573774519883027e-001	4.705862e+000	2.423603e-001
1.576043751110847e-001	4.705686e+000	2.456851e-001
1.578199089288284e-001	4.609221e+000	2.437344e-001
1.581695628400393e-001	4.244045e+000	2.288473e-001
1.587279612051587e-001	3.276453e+000	1.817599e-001
1.593657685263893e-001	1.765108e+000	1.009474e-001
1.598448535405559e-001	4.237975e-001	2.417801e-002
1.602832481078293e-001	-8.650222e-001	-5.380257e-002
1.607236775972958e-001	-2.088438e+000	-1.317480e-001
1.612686220231022e-001	-3.373061e+000	-2.183608e-001
1.617903141975555e-001	-4.318278e+000	-2.863668e-001
1.620209077333217e-001	-4.604805e+000	-3.088171e-001
1.621913865554175e-001	-4.735563e+000	-3.204097e-001
1.623617076165513e-001	-4.804387e+000	-3.279714e-001
1.625735512090940e-001	-4.815199e+000	-3.323567e-001
1.627697483487877e-001	-4.742411e+000	-3.306527e-001
1.630884259441059e-001	-4.445354e+000	-3.148485e-001
1.635997793075427e-001	-3.600356e+000	-2.606355e-001
1.643870964478210e-001	-1.765118e+000	-1.320311e-001
1.648601132821043e-001	-4.503860e-001	-3.392897e-002
1.652999412987452e-001	8.412445e-001	6.753959e-002
1.657420029827004e-001	2.059534e+000	1.676478e-001
1.662838309294445e-001	3.319412e+000	2.764305e-001
1.667960225344091e-001	4.230335e+000	3.597083e-001
1.670250693120442e-001	4.508856e+000	3.871685e-001
1.671945032296894e-001	4.635801e+000	4.011479e-001
1.673654693518601e-001	4.700982e+000	4.099802e-001
1.675998968281184e-001	4.704458e+000	4.146846e-001
1.678126226506278e-001	4.612732e+000	4.104869e-001
1.681577885549701e-001	4.258456e+000	3.845359e-001
1.687094228819612e-001	3.312426e+000	3.054965e-001
1.693566927900993e-001	1.787854e+000	1.687066e-001
1.698335392122653e-001	4.568801e-001	4.289061e-002
1.702757639854040e-001	-8.426257e-001	-8.534254e-002
1.707199136077794e-001	-2.077521e+000	-2.121498e-001
1.712624733478026e-001	-3.358803e+000	-3.496366e-001
1.717868101386921e-001	-4.311400e+000	-4.571850e-001
1.720183547743098e-001	-4.600310e+000	-4.920775e-001
1.721894752212585e-001	-4.732279e+000	-5.096853e-001
1.723594017252094e-001	-4.801655e+000	-5.207326e-001
1.725707043493579e-001	-4.813573e+000	-5.265176e-001
